,RegionName,InventoryRaw_AllHomes
2365193,abbevilleabbevillesc,67.0
2365194,abbevillehenryal,74.0
2365199,aberdeenbrownsd,86.0
2365200,aberdeengrays_harborwa,165.0
2365201,aberdeenharfordmd,167.0
2365203,aberdeenmoorenc,127.0
2365206,abilenetaylortx,844.0
2365207,abingdonharfordmd,236.0
2365211,abingtonmontgomerypa,392.0
2365212,abingtonplymouthma,159.0
2365213,abita_springssaint_tammanyla,89.0
2365216,abseconatlanticnj,66.0
2365219,accokeekprince_georgesmd,118.0
2365220,accomacaccomackva,11.0
2365223,actonlos_angelesca,47.0
2365224,actonmiddlesexma,122.0
2365225,actonyorkme,55.0
2365226,acushnetbristolma,68.0
2365227,acworthcobbga,1161.0
2365231,adairsvillebartowga,129.0
2365234,adamsadamswi,37.0
2365235,adamsmontgomerytn,24.0
2365238,adamsvillemcnairytn,60.0
2365239,adapontotocok,249.0
2365240,addisonaddisonvt,12.0
2365242,addisondu_pageil,227.0
2365244,addisonwashingtonme,14.0
2365248,adelantosan_bernardinoca,219.0
2365249,adelcookga,108.0
2365250,adeldallasia,47.0
2365252,adrian_townshiplenaweemi,202.0
2365254,advancedavienc,174.0
2365255,afftonsaint_louismo,152.0
2365256,aftondelawareok,121.0
2365258,aftonnelsonva,37.0
2365260,agawamhampdenma,130.0
2365261,agoura_hillslos_angelesca,163.0
2365264,agua_dulcelos_angelesca,26.0
2365265,aguangariversideca,24.0
2365266,ahoskiehertfordnc,71.0
2365267,ahwahneemaderaca,13.0
2365269,aikenaikensc,890.0
2365270,airway_heightsspokanewa,46.0
2365277,akronsummitoh,1486.0
2365279,alabastershelbyal,254.0
2365280,alachuaalachuafl,158.0
2365283,alamocontra_costaca,76.0
2365285,alamogordooteronm,299.0
2365288,alansonemmetmi,50.0
2365291,albanyalbanyny,312.0
2365293,albanycarrollnh,18.0
2365294,albanydelawarein,21.0
2365295,albanydoughertyga,599.0
2365297,albanylinnor,392.0
2365302,albemarlestanlync,238.0
2365303,albert_leafreebornmn,141.0
2365305,albertvillemarshallal,261.0
2365309,albiondanewi,20.0
2365311,albionkennebecme,21.0
2365314,albuquerquebernalillonm,3437.0
2365315,alburghgrand_islevt,48.0
2365317,alcoablounttn,120.0
2365322,aldineharristx,51.0
2365324,aledoparkertx,15.0
2365327,alexanderbuncombenc,23.0
2365328,alexandria_townshiphunterdonnj,52.0
2365329,alexandriaalexandria_cityva,673.0
2365330,alexandriacalhounal,32.0
2365331,alexandriacampbellky,89.0
2365333,alexandriadouglasmn,95.0
2365337,alexandriamadisonin,52.0
2365338,alexandriarapidesla,185.0
2365341,algerarenacmi,49.0
2365343,algomakewauneewi,56.0
2365344,algomawinnebagowi,59.0
2365345,algonacsaint_clairmi,111.0
2365347,algonquinmchenryil,283.0
2365349,alhambralos_angelesca,119.0
2365352,aliquippabeaverpa,96.0
2365353,aliso_viejoorangeca,424.0
2365354,allamuchy_panther_valleywarrennj,60.0
2365355,alleganalleganmi,143.0
2365356,allegheny_townshipblairpa,30.0
2365358,allegheny_townshipwestmorelandpa,60.0
2365359,allen_parkwaynemi,156.0
2365360,allen_townshipnorthamptonpa,19.0
2365361,allencollintx,802.0
2365362,allendale_townshipottawami,73.0
2365363,allendalebergennj,21.0
2365369,allentownlehighpa,871.0
2365370,allentownmonmouthnj,11.0
2365371,alliancestarkoh,168.0
2365372,allonsovertontn,18.0
2365374,allynmasonwa,23.0
2365376,almagratiotmi,62.0
2365379,almondportagewi,14.0
2365380,almontlapeermi,42.0
2365384,alpenaalpenami,305.0
2365385,alpharettafultonga,567.0
2365389,alpinesan_diegoca,137.0
2365390,alpineutahut,34.0
2365392,alsipcookil,125.0
2365393,alsteadcheshirenh,12.0
2365395,altadenalos_angelesca,123.0
2365396,altamonte_springsseminolefl,383.0
2365397,altamonteffinghamil,17.0
2365402,altolincolnnm,147.0
2365404,altonbelknapnh,140.0
2365407,altonmadisonil,250.0
2365409,altoonablairpa,246.0
2365410,altoonaeau_clairewi,58.0
2365412,altoonapolkia,128.0
2365413,alturasmodocca,75.0
2365418,alvatonwarrenky,53.0
2365419,alvawoodsok,26.0
2365421,alvordwisetx,35.0
2365426,amarillopottertx,1163.0
2365433,ambridgebeaverpa,72.0
2365436,ameliaclermontoh,99.0
2365438,american_fallspowerid,32.0
2365441,amerypolkwi,91.0
2365442,amesstoryia,352.0
2365443,amherstamherstva,60.0
2365444,amhersterieny,465.0
2365445,amhersthampshirema,135.0
2365446,amhersthillsboroughnh,104.0
2365447,amherstlorainoh,87.0
2365450,amissvillerappahannockva,32.0
2365453,amity_townshipberkspa,76.0
2365454,amityclarkar,17.0
2365455,amityvillesuffolkny,244.0
2365456,amityyamhillor,26.0
2365457,ammonbonnevilleid,154.0
2365462,anacortesskagitwa,324.0
2365463,anaheimorangeca,1032.0
2365465,anamosajonesia,24.0
2365466,anchor_pointkenai_peninsulaak,37.0
2365467,anchorageanchorageak,1584.0
2365475,andersonandersonsc,1207.0
2365477,andersonmadisonin,339.0
2365478,andersonshastaca,97.0
2365480,andover_townshipsussexnj,62.0
2365481,andoveranokamn,182.0
2365482,andoverashtabulaoh,38.0
2365483,andoverbutlerks,119.0
2365484,andovermerrimacknh,28.0
2365485,andovertollandct,18.0
2365486,andoverwindsorvt,14.0
2365487,andrewsandrewstx,82.0
2365494,angierharnettnc,208.0
2365495,angletonbrazoriatx,143.0
2365498,angolasteubenin,223.0
2365501,ankenypolkia,561.0
2365502,ann_arborwashtenawmi,783.0
2365503,anna_mariamanateefl,54.0
2365504,annacollintx,115.0
2365505,annandalefairfaxva,154.0
2365506,annandalewrightmn,39.0
2365507,annapolisanne_arundelmd,750.0
2365510,annaunionil,59.0
2365513,annistoncalhounal,263.0
2365518,ansonianew_havenct,69.0
2365521,anthemmaricopaaz,312.0
2365523,anthonydona_ananm,34.0
2365526,anthonymarionfl,27.0
2365529,antiochlakeil,193.0
2365533,antrim_townshipfranklinpa,109.0
2365535,apache_junctionpinalaz,312.0
2365537,apalachicolafranklinfl,98.0
2365538,apexwakenc,688.0
2365539,apollo_beachhillsboroughfl,383.0
2365541,apopkaorangefl,834.0
2365545,apple_valleydakotamn,314.0
2365546,apple_valleysan_bernardinoca,552.0
2365548,appletonoutagamiewi,573.0
2365549,applewoodjeffersonco,50.0
2365551,appomattoxappomattoxva,81.0
2365552,aptossanta_cruzca,195.0
2365553,arabisaint_bernardla,17.0
2365554,arabmarshallal,112.0
2365555,aragonpolkga,18.0
2365556,aransas_passsan_patriciotx,115.0
2365563,arcadiade_sotofl,244.0
2365566,arcadialos_angelesca,178.0
2365567,arcadiamanisteemi,12.0
2365573,archbaldlackawannapa,32.0
2365574,archboldfultonoh,17.0
2365580,arden_arcadesacramentoca,243.0
2365582,ardenbuncombenc,212.0
2365583,ardmorecarterok,83.0
2365584,ardmoredelawarepa,82.0
2365585,ardmoregilestn,27.0
2365586,ardmorelimestoneal,48.0
2365588,ardsleywestchesterny,34.0
2365589,arenaiowawi,21.0
2365592,argosaint_clairal,33.0
2365595,argylelafayettewi,12.0
2365596,arkadelphiaclarkar,59.0
2365600,arlington_heightscookil,579.0
2365601,arlington_heightsmonroepa,45.0
2365602,arlingtonarlingtonva,702.0
2365607,arlingtonshelbytn,92.0
2365609,arlingtonsnohomishwa,257.0
2365610,arlingtontarranttx,1775.0
2365617,arnoldanne_arundelmd,109.0
2365618,arnoldcalaverasca,148.0
2365619,arnoldjeffersonmo,269.0
2365623,arnoldwestmorelandpa,52.0
2365630,arroyo_grandesan_luis_obispoca,215.0
2365634,arundelyorkme,35.0
2365635,arvadajeffersonco,647.0
2365638,asbury_parkmonmouthnj,234.0
2365639,asburydubuqueia,49.0
2365640,ash_forkyavapaiaz,36.0
2365642,ashawaywashingtonri,19.0
2365643,ashbrunswicknc,34.0
2365646,ashburnturnerga,23.0
2365647,ashbymiddlesexma,23.0
2365648,ashebororandolphnc,201.0
2365651,ashevillebuncombenc,920.0
2365654,ashfordhoustonal,17.0
2365656,ashfordwindhamct,47.0
2365659,ashlandashlandwi,120.0
2365660,ashlandboonemo,50.0
2365661,ashlandboydky,92.0
2365664,ashlandhanoverva,117.0
2365665,ashlandjacksonor,269.0
2365666,ashlandmiddlesexma,120.0
2365673,ashtabulaashtabulaoh,127.0
2365677,ashvillesaint_clairal,45.0
2365678,ashwaubenonbrownwi,79.0
2365680,aspenpitkinco,414.0
2365683,astatulalakefl,25.0
2365684,astondelawarepa,90.0
2365685,astoriaclatsopor,163.0
2365686,astorlakefl,51.0
2365687,atascaderosan_luis_obispoca,164.0
2365688,atascocitaharristx,812.0
2365695,athensclarkega,1347.0
2365696,athensgreeneny,38.0
2365697,athenshendersontx,110.0
2365698,athenslimestoneal,543.0
2365701,athensmenardil,13.0
2365703,atholkootenaiid,66.0
2365708,atkinspopear,34.0
2365710,atlantacasstx,37.0
2365711,atlantafultonga,5915.0
2365713,atlantaloganil,16.0
2365715,atlantic_beachcarteretnc,182.0
2365716,atlantic_beachduvalfl,126.0
2365717,atlantic_beachnassauny,73.0
2365718,atlantic_cityatlanticnj,473.0
2365719,atlantic_highlandsmonmouthnj,64.0
2365722,atmoreescambiaal,72.0
2365723,atokatiptontn,97.0
2365724,attallaetowahal,55.0
2365725,atticafountainin,23.0
2365726,atticalapeermi,53.0
2365728,attleborobristolma,249.0
2365730,atwatermercedca,91.0
2365736,auberryfresnoca,43.0
2365738,auburn_hillsoaklandmi,122.0
2365739,auburnandroscogginme,241.0
2365740,auburnbarrowga,157.0
2365742,auburncayugany,70.0
2365743,auburndalepolkfl,231.0
2365746,auburnkingwa,494.0
2365747,auburnleeal,766.0
2365748,auburnloganky,24.0
2365749,auburnplacerca,234.0
2365753,auburnworcesterma,84.0
2365757,auduboncamdennj,66.0
2365758,audubonmontgomerypa,32.0
2365759,augusta_townshipwashtenawmi,40.0
2365761,augustabutlerks,71.0
2365764,augustakennebecme,172.0
2365766,augustasaint_charlesmo,22.0
2365767,augustatattnallga,1429.0
2365770,aumsvillemarionor,27.0
2365772,auroraarapahoeco,2539.0
2365773,auroradearbornin,47.0
2365775,aurorakaneil,1456.0
2365776,auroralawrencemo,121.0
